"Site_Name","Run_Number","x_Temporary_Larval_Habitat","final_prev","ITN_Coverage","IRS_Coverage","ACT_Coverage","Intervention","initial_prev","mean_initial","mean_final"
"aba","2",0.398107170553499,0.3266897002768,0,0,0,"None",0.3722215846054,0.37599400309322,0.33376700415027
"aba","2",0.501187233627274,0.3797123901256,0,0,0,"None",0.4412953678302,0.44443069420044,0.41652455675631
"aba","2",0.630957344480196,0.5273328806699,0,0,0,"None",0.5159082144234,0.52667392394015,0.50071981732544
"aba","2",0.794328234724285,0.5611649500228,0,0,0,"None",0.6051173327521,0.58194218804435,0.57376094531624
"aba","2",1,0.640544401238,0,0,0,"None",0.6516641129006,0.6369536752147,0.64051041650197
"aba","2",1.25892541179417,0.7061874563448,0,0,0,"None",0.6914465961479,0.69234829542021,0.68901734987883
"aba","2",1.58489319246112,0.7041473752853,0,0,0,"None",0.7224455578219,0.72930360725071,0.72917502862013
"aba","2",1.99526231496889,0.747291957854,0,0,0,"None",0.7741998088023,0.7650158460779,0.76166129064896
"aba","2",2.51188643150959,0.7702568468852,0,0,0,"None",0.7817821385913,0.7921148480229,0.786393091768
"aba","2",3.1622776601684,0.8088030352535,0,0,0,"None",0.7975306065665,0.80282585519711,0.80390052336567
"aba","2",3.98107170553499,0.8027207579254,0,0,0,"None",0.8196625904527,0.81862894473528,0.81372363682335
"aba","2",5.01187233627275,0.8301448794744,0,0,0,"None",0.8352310291633,0.82831628238479,0.82472794810515
"aba","2",6.30957344480197,0.8333745454545,0,0,0,"None",0.8370366080449,0.83586470512048,0.83326237154777
"aba","2",7.94328234724286,0.8333883879311,0,0,0,"None",0.8411752495865,0.83850117954976,0.83766886730676
"aba","2",10.0000000000001,0.8472605332901,0,0,0,"None",0.8424991310639,0.84552425476211,0.84172259274781
"aba","2",12.5892541179418,0.8492824531338,0,0,0,"None",0.8507110001683,0.84960878302382,0.84737487618989
"aba","2",15.8489319246112,0.8433789863834,0,0,0,"None",0.850804149688,0.85036798764989,0.84605320678127
